"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwys 04/22 09/27 18L/36R)","https://www.liveatc.net/play/eham_gnd_0422092718l36r.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (North)","https://www.liveatc.net/play/eham_info_n.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (Over Land)","https://www.liveatc.net/play/eham_info_land.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (South)","https://www.liveatc.net/play/eham_info_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Outbound Planner","https://www.liveatc.net/play/eham_planner.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 06/24)","https://www.liveatc.net/play/eham_twr_0624.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 18C/36C)","https://www.liveatc.net/play/eham_twr_18c36c.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 18R/36L)","https://www.liveatc.net/play/eham_twr_18r36l.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwys 04/22 18L/36R)","https://www.liveatc.net/play/eham_twr_042218l36r.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","Maastricht Radar (Delta High)","https://www.liveatc.net/play/eham_muac_132085.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","Maastricht Radar (Delta Low)","https://www.liveatc.net/play/eham_muac_135960.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","Maastricht Radar (Delta Medium)","https://www.liveatc.net/play/eham_muac_135510.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","EHBK ATIS","https://www.liveatc.net/play/ehbk1_atis.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","EHBK Gnd/Twr/App","https://www.liveatc.net/play/ehbk1_twr.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","EHBK Gnd/Twr/App","https://www.liveatc.net/play/ehbk2.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Delta High","https://www.liveatc.net/play/ehbk1_muac_delta_hi.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Koksy","https://www.liveatc.net/play/ehbk1_muac_koksy.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Koksy High","https://www.liveatc.net/play/ehbk1_muac_koksy_hi.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Lux High","https://www.liveatc.net/play/ehbk1_muac_lux_hi.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Lux Low","https://www.liveatc.net/play/ehbk1_muac_lux_low.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Olno Low","https://www.liveatc.net/play/ehbk1_muac_olno_low.pls","",""
"Europe","Netherlands","Beek","","Maastricht Aachen Airport","EHBK","MST","MUAC/Eurocontrol Ruhr","https://www.liveatc.net/play/ehbk1_muac_ruhr.pls","",""
